primary key, precinct, population, polygon type
"12", "Ritzville Rural Southeast", "186.0", "MultiPolygon"
"20", "Othello Rural 5", "334.0", "MultiPolygon"
"24", "Othello Rural 1", "265.0", "MultiPolygon"
"25", "Othello 7", "0.0", "Polygon"
"34", "West Clarkston 1", "508.0", "MultiPolygon"
"50", "Water: Snake River - Clarkston", "0.0", "Polygon"
"52", "Water: Grande Ronde River", "0.0", "MultiPolygon"
"53", "Water: Snake River", "0.0", "MultiPolygon"
"56", "Water: Snake River - Asotin", "0.0", "Polygon"
"60", "Anatone", "234.0", "MultiPolygon"
"62", "Rural Asotin", "0.0", "MultiPolygon"
"63", "Kennewick 655", "906.0", "MultiPolygon"
"73", "Yakima", "12.0", "MultiPolygon"
"74", "Federal", "0.0", "Polygon"
"75", "Weidle", "81.0", "MultiPolygon"
"77", "Elk", "0.0", "Polygon"
"85", "Hanford Nuclear Reservation", "0.0", "MultiPolygon"
"86", "Richland 120", "455.0", "MultiPolygon"
"89", "Sunny", "153.0", "MultiPolygon"
"94", "Clements", "94.0", "MultiPolygon"
"100", "Richland 135", "395.0", "MultiPolygon"
"104", "Richland 145", "581.0", "MultiPolygon"
"108", "Griffin", "149.0", "MultiPolygon"
"109", "Candy", "13.0", "MultiPolygon"
"111", "Kiona", "758.0", "MultiPolygon"
"119", "Prosser North", "565.0", "MultiPolygon"
"123", "Mills", "680.0", "MultiPolygon"
"148", "Farm", "12.0", "MultiPolygon"
"149", "Sage", "0.0", "Polygon"
"159", "Carley", "86.0", "MultiPolygon"
"160", "Paterson", "73.0", "MultiPolygon"
"170", "Richland 270", "661.0", "MultiPolygon"
"182", "Water: Columbia River - Kennewick", "0.0", "MultiPolygon"
"183", "Water: Columbia River", "0.0", "MultiPolygon"
"184", "Water: Columbia River - Hanford Reservation", "0.0", "Polygon"
"185", "Water: Columbia River - Richland", "0.0", "Polygon"
"190", "Richland 280", "1472.0", "MultiPolygon"
"191", "Richland 275", "242.0", "MultiPolygon"
"198", "Kennewick 681", "14.0", "MultiPolygon"
"199", "Spengler Road", "0.0", "Polygon"
"214", "Water: Yakima River - Richland", "0.0", "MultiPolygon"
"224", "West Richland 9", "0.0", "Polygon"
"235", "West Richland 1", "360.0", "MultiPolygon"
"237", "Water: Yakima River - West Richland", "0.0", "Polygon"
"239", "Benton East", "0.0", "Polygon"
"241", "Water: Yakima River - Benton City", "0.0", "Polygon"
"252", "Water: Yakima River - Prosser", "0.0", "MultiPolygon"
"255", "Water: Yakima River", "0.0", "MultiPolygon"
"256", "Prosser 450", "627.0", "MultiPolygon"
"257", "142", "54.0", "MultiPolygon"
"269", "125", "666.0", "MultiPolygon"
"280", "520", "1235.0", "MultiPolygon"
"290", "113", "131.0", "MultiPolygon"
"293", "110", "532.0", "MultiPolygon"
"318", "172", "25.0", "MultiPolygon"
"321", "164", "294.0", "MultiPolygon"
"326", "158", "369.0", "MultiPolygon"
"335", "1149", "77.0", "MultiPolygon"
"414", "Prairie South", "825.0", "MultiPolygon"
"419", "Sequim 5", "580.0", "MultiPolygon"
"420", "Bell Hill", "710.0", "MultiPolygon"
"428", "Bogachiel", "371.0", "MultiPolygon"
"437", "Water: Strait of Juan de Fuca", "0.0", "Polygon"
"480", "090", "865.0", "MultiPolygon"
"509", "490", "684.0", "MultiPolygon"
"510", "505", "1278.0", "MultiPolygon"
"525", "537", "851.0", "MultiPolygon"
"528", "510", "879.0", "MultiPolygon"
"530", "Water: Lacamas Lake", "0.0", "MultiPolygon"
"531", "Water: Yale Lake", "0.0", "Polygon"
"532", "Water: Lake Merwin", "0.0", "Polygon"
"533", "Water: Lewis River", "0.0", "MultiPolygon"
"534", "Water: Columbia River Leg 18", "0.0", "MultiPolygon"
"535", "Water: Lake River Leg 18", "0.0", "MultiPolygon"
"536", "Water: Lake River - Ridgefield", "0.0", "Polygon"
"537", "Water: Columbia River Leg 49", "0.0", "Polygon"
"538", "Water: Lake River Leg 49", "0.0", "Polygon"
"539", "Water: Columbia River - Vancouver Leg 49", "0.0", "Polygon"
"540", "Water: Columbia River - Vancouver Leg 17", "0.0", "Polygon"
"541", "Water: Columbia River - Camas", "0.0", "MultiPolygon"
"542", "Water: Lake Vancouver", "0.0", "Polygon"
"566", "961", "762.658", "MultiPolygon"
"580", "491", "0.0", "Polygon"
"587", "950", "1405.0", "MultiPolygon"
"593", "910", "1197.0", "MultiPolygon"
"650", "Brooklyn", "303.0", "MultiPolygon"
"651", "Umatilla National Forest", "0.0", "Polygon"
"662", "McGowan", "400.0", "MultiPolygon"
"738", "Kalama North", "863.0", "MultiPolygon"
"807", "Hoodoo", "126.0", "MultiPolygon"
"939", "Moses Lake 7", "1285.0", "MultiPolygon"
"940", "Moses Lake 3", "1235.0", "MultiPolygon"
"943", "Water: Moses Lake - City of Moses Lake", "0.0", "Polygon"
"944", "Moses Lake 8", "1310.0", "MultiPolygon"
"946", "Royal City", "225.0", "MultiPolygon"
"948", "Quincy 4", "374.0", "MultiPolygon"
"949", "Quincy 6", "729.0", "MultiPolygon"
"957", "Soap Lake 2", "292.0", "MultiPolygon"
"960", "Marlin (Krupp)", "33.0", "MultiPolygon"
"961", "Coulee City", "318.0", "MultiPolygon"
"963", "Electric City", "503.0", "MultiPolygon"
"965", "Coulee Dam", "0.0", "Polygon"
"966", "Water: Moses Lake", "0.0", "MultiPolygon"
"967", "Water: Banks Lake", "0.0", "MultiPolygon"
"968", "Water: Columbia River", "0.0", "MultiPolygon"
"969", "East Wahluke", "157.0", "MultiPolygon"
"970", "Mattawa Rural", "786.0", "MultiPolygon"
"971", "Beverly", "86.0", "MultiPolygon"
"975", "Smyrna 2", "39.0", "MultiPolygon"
"976", "George Rural", "800.0", "MultiPolygon"
"978", "Mae", "1196.0", "MultiPolygon"
"979", "McConihe 1", "234.0", "MultiPolygon"
"984", "O'Sullivan Dam", "1581.0", "MultiPolygon"
"989", "Wheeler", "1393.0", "MultiPolygon"
"993", "Quincy Rural North", "403.0", "MultiPolygon"
"998", "Lakeview Park", "993.0", "MultiPolygon"
"1002", "Coulee City Rural East", "143.0", "MultiPolygon"
"1004", "North Banks Lake", "236.0", "MultiPolygon"
"1005", "Moses Lake 11", "900.0", "MultiPolygon"
"1006", "Moses Lake 6", "1012.0", "MultiPolygon"
"1007", "Water: Potholes Reservoir", "0.0", "Polygon"
"1008", "George", "93.0", "MultiPolygon"
"1011", "Aberdeen Ward 1 Pct 1", "645.0", "MultiPolygon"
"1019", "Sierra", "0.0", "Polygon"
"1028", "McCleary Rural", "794.0", "MultiPolygon"
"1040", "Calder", "871.0", "MultiPolygon"
"1046", "Montesano 606", "0.0", "MultiPolygon"
"1047", "Water: Pacific Ocean Leg 19", "0.0", "Polygon"
"1048", "Water: Pacific Ocean Leg 24", "0.0", "Polygon"
"1049", "Water: Grays Harbor Leg 24", "0.0", "Polygon"
"1050", "Water: Grays Harbor Leg 19", "0.0", "MultiPolygon"
"1058", "Montesano 605", "499.0", "MultiPolygon"
"1060", "Montesano 603", "0.0", "MultiPolygon"
"1070", "Elma 303", "636.0", "MultiPolygon"
"1071", "Elma 302", "411.0", "MultiPolygon"
"1081", "Aberdeen Ward 3 Pct 1", "449.0", "MultiPolygon"
"1113", "Ault", "587.114", "MultiPolygon"
"1117", "Oak Harbor 15", "849.272", "MultiPolygon"
"1130", "Fort Nugent", "505.377", "MultiPolygon"
